AUTHOR,PUBLICATION DATE,TITLE,Thesis #,FILE NAME,Online
"Abbott, Robert E.",2001.0,Geophysical constraints on seismic hazard and tectonics in the Western Basin and Range,4929.0,Mackay001_Abbott.pdf,
"Abbott, Robert Earl",2001,Geophysical Constraints On Seismic Hazard And Tectonics In The Western Basin And Range,,,https://search.proquest.com/docview/304707215?accountid=452
"Abdullah, S. K. M. ",1966.0,"Geology of the southern part of the Sand Springs Range, Churchill County, Nevada",34.0,"Mackay002_Abdullah.pdf, Mackay002_Abdullah_map_0001.jpg",
"Abraham, Daniel  ",1988.0,Electrochemical corrosion studies of lead and steel in desert soils,2334.0,Mackay003_Abraham.pdf,
"Abraham, Daniel P.",1988,Electrochemical Corrosion Studies Of Lead And Steel In Desert Soils,,,https://search.proquest.com/docview/303697532?accountid=452
"Abrams, Gerard  Joseph",1979.0,"Geology and ore deposits of the Union district southern Shoshone Mountainsm, Nye County, Nevada",1402.0,"Mackay004_Abrams.pdf, Mackay004_Abrams_map_0001.jpg, Mackay004_Abrams_map_0002.jpg",
"Abrams, Gerard Joseph",1980,Geology And Ore Deposits Of The Union District Southern Shoshone Mountains Nye County Nevada.,,,https://search.proquest.com/docview/303028397?accountid=452
"Acheampong, Stephen Yaw",1996.0,Geochemical evolution of the shallow groundwater system in the southern Voltaian Sedimentary Basin of Ghana,3775.0,Mackay005_Archeampong.pdf,http://search.proquest.com/docview/304280989/abstract/E5E9E91ABCEF4A1EPQ/1?accountid=452
"Acheampong, Stephen Yaw",1996,Geochemical Evolution Of The Shallow Groundwater System In The Southern Voltaian Sedimentary Basin Of Ghana,,,https://search.proquest.com/docview/304280989?accountid=452
"Acholonu, Christian Chitumogu",1983.0,"Distribution of copper, cobalt, nickel between alloys and silica-unsaturated iron slags",1769.0,Mackay006_Acholonu.pdf,
"Acholonu, Christian Chitumogu",1983,"Distribution Of Copper, Cobalt, Nickel Between Alloys And Silica-Unsaturated Iron Slags.",,,https://search.proquest.com/docview/303276167?accountid=452
"Adams, Kenneth D.",1997.0,"Late Quaternary Pluvial history, isostatic rebound, and active faulting in the Lake Lahontan Basin, Nevada and California",4005.0,Mackay009_AdamsK.pdf,
"Adams, Kenneth Donald",1997,"Late Quaternary Pluvial History, Isostatic Rebound, And Active Faulting In The Lake Lahontan Basin, Nevada And California",,,https://search.proquest.com/docview/304356077?accountid=452
"Adams, Opal Fay",1985.0,"Geology and ore deposits of the Thunder Mountain Mining District, Valley County, Idaho",7191.0,"Mackay007_AdamsO.pdf, Mackay007_AdamsO_map_0001.jpg, Mackay007_AdamsO_map_0002.jpg, Mackay007_AdamsO_map_0003.jpg, Mackay007_AdamsO_map_0004.jpg",
"Adams, Opal Fay",1985,"Geology And Ore Deposits Of The Thunder Mountain Mining District, Valley County, Idaho",,,https://search.proquest.com/docview/303393143?accountid=452
"Adams, Thomas J.",2004.0,Potential concrete aggregate reactivity in Northwestern Nevada,,"Mackay008_AdamsT.pdf, Mackay008_AdamsT_map_0001.jpg",
"Adhikari, Dinesh",2015,Environmental Fate And Stability Of Iron-Bound Organic Matter During Redox Reactions,,,https://search.proquest.com/docview/1697862012?accountid=452
"Adu-Acheampong, Albert",2001,"Stability Of Open Stopes Intercepted By Graphitic Shears As Ashanti Goldfields Company Ltd., Obuasi Operations In Ghana",,,https://search.proquest.com/docview/250021212?accountid=452
"Adutwum, Kwadwo Opoku",1995.0,Adsorption mechanism of oxy-anions of selenium on to lanthanum oxide and y-alumina,3608.0,Mackay010_Adutwum.pdf,http://search.proquest.com/docview/304202846/abstract/BFA2A48CAC1A4D5FPQ/1?accountid=452
"Adutwum, Kwadwo Opoku",1995,Adsorption Mechanism Of Oxy-Anions Of Selenium On To Lanthanum Oxide And Gamma-Alumina,,,https://search.proquest.com/docview/304202846?accountid=452
"Agustsson, Kenjo S.",2014,"Pressure–Temperature–Structural Distance Relationships Within The Greater Himalayan Zone, Eastern Himalaya, Eastern Bhutan",,,https://search.proquest.com/docview/1618232954?accountid=452
"Ahmadiantehrani, Mojtaba",1991.0,Hypochlorite pretreatment in heap leaching of a low grade carbonaceous gold ore,2893.0,Mackay011_Ahmadiantehrani.pdf,http://search.proquest.com/docview/303917280/abstract/E8F04049AC694693PQ/1?accountid=452
"Ahmadiantehrani, Mojtaba",1991,Hypochlorite Pretreatment In Heap Leaching Of A Low-Grade Carbonaceous Gold Ore,,,https://search.proquest.com/docview/303917280?accountid=452
"Ahmadiantehrani, Mojtaba",1985,Effects Of Monochloride And Dichloride Salts On Ferric-Chloride Leaching Of Galena Concentrates,,,https://search.proquest.com/docview/303398452?accountid=452
"Ainsworth, Kenneth Wayne",1997,A Geostatistical Analysis Of The Lamefoot Gold Deposit,,,https://search.proquest.com/docview/304360504?accountid=452
"Albright, William  Henry",1995.0,Physical and Hydrologic characteristics of an amended soil proposed as a low permeability component of a radioactive waste landfill cover,3523.0,Mackay012_Albright.pdf,http://search.proquest.com/docview/230936834/abstract/CC4367D714E14B5DPQ/1?accountid=452
"Albright, William Henry",1995,Physical And Hydrologic Characteristics Of An Amended Soil Proposed As A Low Permeability Component Of A Radioactive Waste Landfill Cover,,,https://search.proquest.com/docview/230936834?accountid=452
"Alkaseh, Ahmidi Ali",1979.0,"Hydrogeological and hydrogeochemical aspects of the Jalo area, Libya",1361.0,Mackay013_Alkaseh.pdf,
"Alkaseh, Ahmidi Ali",1979,"Hydrogeological And Hydrogeochemical Aspects Of The Jalo Area, Libya.",,,https://search.proquest.com/docview/302937576?accountid=452
"Allan, Marie",2003,A 2000-Year Record Of Vegetation And Climate Change In The Jarbidge Mountains Of Northeastern Nevada,,,https://search.proquest.com/docview/250218344?accountid=452
"Allander, Kip K.",2004,"An Estimate Of The Contributions Of Streamflow And Nutrients To Trout Creek, South Lake Tahoe, California",,,https://search.proquest.com/docview/305162737?accountid=452
"Allard, Steven Geoffrey ",1982.0,Aqueous surface chemistry of chromite,1626.0,Mackay014_Allard.pdf,
"Allard, Steven Geoffrey",1982,Aqueous Surface Chemistry Of Chromite.,,,https://search.proquest.com/docview/303248841?accountid=452
"Allen, Merrill  Peter ",1972.0,Dissolution and cation exchange studies of asbestos minerals in aqueous media,621.0,Mackay015_Allen.pdf,
"Al-Qudah, Khaldoon A.",2003,The Influence Of Long-Term Landscape Stability On Flood Hydrology And Geomorphic Evolution Of Valley Floor In The Northeastern Badin Of Jordan,,,https://search.proquest.com/docview/288084466?accountid=452
"Altamirano-Morales, Carlos",1999,"Structural Control And Alteration At The Deep Star Deposit, Eureka County, Nevada",,,https://search.proquest.com/docview/304512744?accountid=452
"Altman, Kathleen  Ann",1993.0,Activated alumina for the removal of selenium from heap leach detoxification solutions,3200.0,Mackay016_Altman.pdf,
"Altman, Kathleen Ann",1994,Activated Alumina For The Removal Of Selenium From Heap Leach Detoxification Solutions,,,https://search.proquest.com/docview/304143454?accountid=452
"Altman, Kathleen Ann",1999,Model For Developing A Metallurgically Successful Project,,,https://search.proquest.com/docview/304512905?accountid=452
"Alvarez-Ayesta, Jose Alfredo",1987.0,"A probabilistic analysis of the Emerald Bay rock slide, El Dorado County, California",2275.0,Mackay017_Alvarez-Ayesta.pdf,
"Alvarez-Ayesta, Jose Alfredo",1987,"A Probabilistic Analysis Of The Emerald Bay Rock Slide El Dorado County, California",,,https://search.proquest.com/docview/303587249?accountid=452
"Amateis, Larry Joe",1981.0,"The geology of the Permian Garden Valley Formation, Eureka County, Nevada",1586.0,Mackay018_Amateis.pdf,
"Amateis, Larry Joe",1981,"The Geology Of The Permian Garden Valley Formation, Eureka County, Nevada.",,,https://search.proquest.com/docview/303157040?accountid=452
"Amin, Isam Eldin",1987.0,A general mathematical model for the interpretation of tracer data and calculation of transit times in hydrologic systems,2238.0,Mackay019_Amin.pdf,
"Amin, Isam Eldin",1987,A General Mathematical Model For The Interpretation Of Tracer Data And Calculation Of Transit Times In Hydrologic Systems,,,https://search.proquest.com/docview/303605120?accountid=452
"Anderson, Brian",2016,"Analysis Of Fault Rupture Potential Resulting From Large-Scale Groundwater Withdrawal: Application To Spring Valley, Nevada",,,https://search.proquest.com/docview/1842422263?accountid=452
"Anderson, Constance",2007,Seeking Solutions To Fiscal Equity In The Truckee Meadows Region,,,https://search.proquest.com/docview/304844435?accountid=452
"Anderson, Jeffrey J.",2000,Hydrodynamic Modeling To Optimize Irrigation Efficiency,,,https://search.proquest.com/docview/230794436?accountid=452
"Anderson, Rebecca Jo",1998,A System Analysis Showing How Employment Growth Impacts Housing In Washoe County,,,https://search.proquest.com/docview/304440001?accountid=452
"Anderson, Robert Mitchell, Jr.",2013,"Stratigraphy Of The Sandman Low Sulfidation Au Deposits, Winnemucca, Nevada",,,https://search.proquest.com/docview/1416348258?accountid=452
"Anderson, Ryan B.",2013,"Structural Controls Of The Emerson Pass Geothermal System, Washoe County, Nevada",,,https://search.proquest.com/docview/1445972437?accountid=452
"Anderson, Tracy L.",2016,"Testing Silver Mobility: An Investigation Into Supergene Silver Enrichment At The Rochester Mine In Pershing County, Nevada",,,https://search.proquest.com/docview/1872644280?accountid=452
"Anderton-Folmer, Haley",2013,"The Edible Desert: An Inventory Of Land Suitable For Urban Agriculture &Amp;Amp; Its Economic Potential In Lower Washoe County, Nevada",,,https://search.proquest.com/docview/1446465284?accountid=452
"Andraski, Brian Joseph",1998,Effects Of Disturbance On Soil Properties And Soil-Water Movement In An Arid Environment,,,https://search.proquest.com/docview/304440218?accountid=452
"Angle, Vincent J.",2005,Scenic Quality Factors In The Lake Tahoe Basin,,,https://search.proquest.com/docview/305463807?accountid=452
"Ante, Sara E.",2005,"Luminescence Dating Tests Of Detrital Grains From Sediment Traps, Andvord Bay And Brialmont Cove, Antarctic Peninsula",,,https://search.proquest.com/docview/305462046?accountid=452
"Antunez, Ellis Lewis",1997,"The Acculturation Of Water And Its Influence On The Urbanization Of Monterey, California: 1769-1848",,,https://search.proquest.com/docview/304358972?accountid=452
"Apambire, Wilbert Braimah",2000,Geochemical Modeling And Geomedical Implications Of Fluoriferous Groundwaters In The Upper East Region Of Ghana,,,https://search.proquest.com/docview/304613409?accountid=452
"Arai, Rei",2009,"Application Of Synthetic Aperture Radar Interferometry (Insar) In Defining Groundwater-Withdrawal-Related Subsidence, Diamond Valley, Nevada",,,https://search.proquest.com/docview/304947568?accountid=452
"Aravena Ibanez, Jazmin Estefania",2011,Root-Induced Compaction And Its Effects On Soil Microstructure And Soil Hydraulic Properties Using X-Ray Micro-Tomography And Numerical Simulations,,,https://search.proquest.com/docview/918101690?accountid=452
"Arghin, Salem Saleh",1980.0,"Hydrogeology of the Al-Marj Basin, Libya",1395.0,Mackay020_Arghin.pdf,
"Arghin, Salem Saleh",1980,"Hydrogeology Of The Al-Marj Basin, Libya.",,,https://search.proquest.com/docview/303033295?accountid=452
"Armstrong, Charles F.",1967.0,The moisture balance concept as applied to the American River watershed,209.0,Mackay021_Armstrong.pdf,
"Arufe, Jorge A.",2006,"Urbanization, Water Quality, And Aquatic Ecosystem Condition In The Lower Truckee River Watershed",,,https://search.proquest.com/docview/305292339?accountid=452
"Asad, Abu Muhammad",1998,Linearized And Nonlinear Travel Time Tomography For Upper Crustal Velocity Structure Of The Western Great Basin,,,https://search.proquest.com/docview/304469196?accountid=452
"Asante, William Kofi",2014,Mine-Wide Diesel Particulate Matter (Dpm) Monitoring Applications,,,https://search.proquest.com/docview/1560298937?accountid=452
"Ashcroft, Tristan J.",2012,"Stratigraphic And Structural Relationships In The Northern Adobe Range, Elko County, Nevada In The Context Of Late Paleozoic And Mesozoic Deformation And Tectonics",,,https://search.proquest.com/docview/1039560532?accountid=452
"Aslett, Zan",2010,"Evaluation Of Multi-Scale Hyperspectral Reflectance And Emittance Image Data For Remote Mineral Mapping In Northeastern Death Valley National Park, California And Oasis Valley, Nevada",,,https://search.proquest.com/docview/527843305?accountid=452
"Assam, Jason R.",2007,"Tungstate Adsorption On Ferrihydrite: Extraction Of Equilibrium Adsorption Constants, And Application To The Shallow And Intermediate, Basin-Fill Aquifers In Fallon, Nevada",,,https://search.proquest.com/docview/304827843?accountid=452
"Atkinson, Gary B.",1973.0,The effects of the addition of copper to SmCo5 permanent magnets,744.0,Mackay022_Atkinson.pdf,
"Atkinson, Richard Kearney",1984,Geothermal Evaluation Model: A Utility Perspective.,,,https://search.proquest.com/docview/303306162?accountid=452
"Ayers, Michael Benson",1997,Aerial Multispectral Videography For Vegetation Mapping And Assessment Of Beaver Distribution Within Selected Riparian Areas Of The Lake Tahoe Basin,,,https://search.proquest.com/docview/304356951?accountid=452
"Aymard, William H. ",1989.0,"Hydrocarbon potential of Yucca Mountain, Nevada",2574.0,Mackay023_Aymard.pdf,
"Aymard, William Henry",1989,"Hydrocarbon Potential Of Yucca Mountain, Nevada",,,https://search.proquest.com/docview/303786140?accountid=452
"Azemi, Ahad B.",1993.0,A study of the permeability of compacted soil in the presence of sodium cyanide and other salts,3254.0,Mackay024_Azemi.pdf,
"Azemi, Ahad Bijan",1994,A Study Of The Permeability Of Compacted Soil In The Presence Of Sodium Cyanide And Other Salts,,,https://search.proquest.com/docview/304117577?accountid=452
"Back, William  ",1969.0,Chemical hydrogeology of the carbonate peninsulas of Florida and Yucatan,375.0,Mackay025_Back.pdf,
"Back, William",1969,Chemical Hydrogeology Of The Carbonate Peninsulas Of Florida And Yucatan,,,https://search.proquest.com/docview/302437586?accountid=452
"Backes, Tracy M.",2013,Combined Role Of Low- And Mid-Level Jets And Atmospheric Rivers On Winter Precipitation In The Eastern Sierra Nevada,,,https://search.proquest.com/docview/1496773086?accountid=452
"Badger, Thomas Clark",2002,"Geomorphology And Failure Mechanics Of Gigantic Landslides Within Summer Lake Basin: Implications For Seismogenic Triggers, Lake County, Oregon",,,https://search.proquest.com/docview/230922167?accountid=452
"Badwe, Sunil",2006,Corrosion Behavior Of Alloy 22 In Heated Surface Test Conditions In Simulated Yucca Mountain Nuclear Repository Environment,,,https://search.proquest.com/docview/305273513?accountid=452
"Baffoe-Twum, Edmund",2007,"Using Insar And Hydrostratigraphic-Simulation To Determine Land Subsidence Due To Ground Water Withdrawal In The Pumpernickel Valley-Kelly Creek Basin, North Central Nevada",,,https://search.proquest.com/docview/304839335?accountid=452
"Bagchi, Sharmila",1995,Selecting Alfalfa Cultivars For Low Water-Use Under Progressive Water Stress,,,https://search.proquest.com/docview/304211074?accountid=452
"Bagchi, Soumoya",1997,Studies On The Application Of Neural Networks To A Ph Process With Variable Dead Time,,,https://search.proquest.com/docview/304371342?accountid=452
"Bahrami, Davood",2002,Software And Model Configuration For In Situ Measurement Of Thermophysical Properties,,,https://search.proquest.com/docview/230951534?accountid=452
"Bahrami, Davood",2006,Coupled Hydrothermal-Ventilation And In -Drift Moisture Study At Yucca Mountain,,,https://search.proquest.com/docview/305273268?accountid=452
"Baines, Elizabeth Anne",2000,Mortality And Migration: A Study Of The Comstock Lode,,,https://search.proquest.com/docview/251079224?accountid=452
"Bakane, Piyush A.",2013,Study Of Flow Modulation For Enhancement Of Power Generation,,,https://search.proquest.com/docview/1416358679?accountid=452
